source_term_en,target_lang,target_lang_nllb,translated_term,back_translated_en,back_similarity,comet_kiwi_score,qe_tier,needs_manual_review,duplicate_translation
individualism,ind,ind_Latn,individualisme,individualism,1.0,0.8733891248703003,high,0,0
collectivism,ind,ind_Latn,kolektivisme,collectivism,1.0,0.87555992603302,high,0,0
hierarchy,ind,ind_Latn,hierarki,the hierarchy,0.8181818181818182,0.6067254543304443,medium,0,0
equality,ind,ind_Latn,kesetaraan,equality,1.0,0.8680084347724915,high,0,0
authority,ind,ind_Latn,otoritas,authority,1.0,0.766642689704895,medium,0,0
autonomy,ind,ind_Latn,Otonomi,It's autonomous.,0.5833333333333334,0.8531014919281006,high,0,0
obedience,ind,ind_Latn,kepatuhan,Obedience,1.0,0.8398817181587219,high,0,0
duty,ind,ind_Latn,kewajiban,liability,0.3076923076923077,0.8393306732177734,high,1,0
freedom,ind,ind_Latn,Kebebasan,Freedom,1.0,0.8713592290878296,high,0,0
honor,ind,ind_Latn,kehormatan,The honor,0.7142857142857143,0.7067795395851135,medium,0,0
shame,ind,ind_Latn,malu,Shame on you.,0.5555555555555556,0.573536217212677,low,1,0
virtue,ind,ind_Latn,kebajikan,virtue,1.0,0.8179917335510254,high,0,0
vice,ind,ind_Latn,ketidaksetaraan,inequality,0.2857142857142857,0.7122935056686401,medium,1,0
respect,ind,ind_Latn,Penghormatan,The Honor,0.125,0.866478681564331,high,1,0
modesty,ind,ind_Latn,kesederhanaan,simplicity,0.35294117647058826,0.8268465995788574,high,1,0
purity,ind,ind_Latn,kemurnian,purity,1.0,0.7855952382087708,medium,0,0
pollution,ind,ind_Latn,polusi,pollution,1.0,0.873212993144989,high,0,0
face,ind,ind_Latn,wajah,The face,0.6666666666666666,0.8153284788131714,high,0,0
reputation,ind,ind_Latn,Reputasi,Reputation,1.0,0.8579096794128418,high,0,0
hospitality,ind,ind_Latn,keramahan,Hospitality,1.0,0.8485960960388184,high,0,0
charity,ind,ind_Latn,amal,charity,1.0,0.6683593392372131,medium,0,0
cooperation,ind,ind_Latn,kerjasama,cooperation,1.0,0.8379055857658386,high,0,0
competition,ind,ind_Latn,Persaingan,Competition,1.0,0.8495670557022095,high,0,0
fairness,ind,ind_Latn,keadilan,Justice,0.26666666666666666,0.8288025856018066,high,1,1
justice,ind,ind_Latn,keadilan,Justice,1.0,0.8568753004074097,high,1,1
taboo,ind,ind_Latn,tabu,Taboo,1.0,0.7941576838493347,medium,0,0
tradition,ind,ind_Latn,tradisi,tradition,1.0,0.8500543832778931,high,0,0
modernity,ind,ind_Latn,modernitas,modernity,1.0,0.8515260815620422,high,0,0
sacred,ind,ind_Latn,suci,holy,0.0,0.7267404794692993,medium,1,0
secular,ind,ind_Latn,sekuler,secular,1.0,0.7649641633033752,medium,0,0
conformity,ind,ind_Latn,Konformitas,Conformity,1.0,0.8321961760520935,high,0,0
dissent,ind,ind_Latn,penentangan,resistance,0.35294117647058826,0.8188217878341675,high,1,0
restraint,ind,ind_Latn,pengendalian,control,0.25,0.8064101338386536,high,1,0
indulgence,ind,ind_Latn,penyesalan,regrets,0.23529411764705882,0.7952244281768799,medium,1,0
solidarity,ind,ind_Latn,solidaritas,Solidarity,1.0,0.6244018077850342,medium,0,0
merit,ind,ind_Latn,Penghargaan,The Award,0.2857142857142857,0.5437172651290894,low,1,0
trust,ind,ind_Latn,kepercayaan,trust,1.0,0.8575692176818848,high,0,0
loyalty,ind,ind_Latn,kesetiaan,loyalty,1.0,0.8715483546257019,high,0,0
integrity,ind,ind_Latn,integritas,integrity,1.0,0.8422549366950989,high,0,0
discretion,ind,ind_Latn,Kebijaksanaan,The Wisdom,0.3,0.8162740468978882,high,1,0
humility,ind,ind_Latn,rendah hati,humility,1.0,0.8534566164016724,high,1,1
discipline,ind,ind_Latn,disiplin,discipline,1.0,0.8493881225585938,high,0,0
self control,ind,ind_Latn,kontrol diri,self-control,0.9166666666666666,0.8649452924728394,high,0,0
deference,ind,ind_Latn,deferensi,Deference,1.0,0.5736009478569031,low,1,0
civic individualism,ind,ind_Latn,individualisme sipil,civil individualism,0.9473684210526315,0.8419340252876282,high,0,0
