probe,left_endpoint,right_endpoint
barbecue,rice,bread
biryani,spicy,mild
clan,dragon,eagle
community,certainty,ambiguity
community,homeland,migration
cousin,elder,youth
curry,vegetarian,meat
daily banquet,kin,stranger
daily weekday,kin,stranger
day of the dead,lunar,solar
eid,fasting,feasting
father,uniform,personalized
fatherhood,uniform,personalized
formal wedding dress,white,red
global community,homeland,migration
merit,certainty,ambiguity
monk,taboo,permissive
paella,spicy,mild
prophet,fasting,feasting
religious day of the dead,lunar,solar
seasonal holiday,dragon,eagle
wedding dress,white,red
