source_term_en,target_lang,target_lang_nllb,translated_term,back_translated_en,back_similarity,comet_kiwi_score,qe_tier,needs_manual_review,duplicate_translation
individualism,fas,pes_Arab,انفرادیسم,I'm isolated.,0.23076923076923078,0.8660053014755249,high,1,0
collectivism,fas,pes_Arab,اجتماع گرایی,Socialism.,0.45454545454545453,0.8702937364578247,high,1,0
hierarchy,fas,pes_Arab,سلسله مراتب,The hierarchy.,0.782608695652174,0.8517979979515076,high,0,0
equality,fas,pes_Arab,برابری,Equality.,0.9411764705882353,0.853765606880188,high,0,0
authority,fas,pes_Arab,مقام,The official.,0.36363636363636365,0.6944904327392578,medium,1,0
autonomy,fas,pes_Arab,استقلال,Independence,0.1,0.8409103751182556,high,1,0
obedience,fas,pes_Arab,اطاعت,Obedience,1.0,0.8408296704292297,high,0,0
duty,fas,pes_Arab,وظیفه,The duty.,0.6153846153846154,0.8370206356048584,high,0,0
freedom,fas,pes_Arab,آزادی,The freedom.,0.7368421052631579,0.8472375273704529,high,0,0
honor,fas,pes_Arab,افتخار,It's an honor.,0.5263157894736842,0.8346092104911804,high,1,0
shame,fas,pes_Arab,شرمنده,I'm sorry about that.,0.23076923076923078,0.7750937342643738,medium,1,0
virtue,fas,pes_Arab,فضیلت,Your virtue.,0.6666666666666666,0.811921238899231,high,0,0
vice,fas,pes_Arab,عیب,The flaw.,0.15384615384615385,0.8112320303916931,high,1,0
respect,fas,pes_Arab,احترام,Respect.,0.9333333333333333,0.849829375743866,high,1,1
modesty,fas,pes_Arab,فروتنی,Humility.,0.375,0.8553577661514282,high,1,1
purity,fas,pes_Arab,طاهری,It's clean.,0.23529411764705882,0.7048836946487427,medium,1,0
pollution,fas,pes_Arab,آلودگی,The pollution.,0.782608695652174,0.8476883172988892,high,0,0
face,fas,pes_Arab,چهره,The face.,0.6153846153846154,0.8064459562301636,high,0,0
reputation,fas,pes_Arab,شهرت,Your fame.,0.2,0.8353509902954102,high,1,0
hospitality,fas,pes_Arab,مهمان نوازی,Hospitality,1.0,0.8542778491973877,high,0,0
charity,fas,pes_Arab,خیریه,It's charity.,0.7,0.8463969230651855,high,0,0
cooperation,fas,pes_Arab,همکاری,Co-operation,0.9565217391304348,0.8379881381988525,high,0,0
competition,fas,pes_Arab,رقابت,Competition.,0.9565217391304348,0.8381437659263611,high,0,0
fairness,fas,pes_Arab,عدالت,Justice.,0.25,0.8378883600234985,high,1,1
justice,fas,pes_Arab,عدالت,Justice.,0.9333333333333333,0.8494471311569214,high,1,1
taboo,fas,pes_Arab,ممنوعیت,The ban.,0.3076923076923077,0.832491397857666,high,1,0
tradition,fas,pes_Arab,سنت,- What?,0.125,0.8457185626029968,high,1,0
modernity,fas,pes_Arab,مدرنیت,The modernity.,0.782608695652174,0.8674748539924622,high,0,0
sacred,fas,pes_Arab,مقدس,The Holy One.,0.10526315789473684,0.8158259391784668,high,1,0
secular,fas,pes_Arab,سکولار,Secular.,0.9333333333333333,0.6981588006019592,medium,0,0
conformity,fas,pes_Arab,مطابقت,Matching,0.2222222222222222,0.8520514965057373,high,1,0
dissent,fas,pes_Arab,مخالفت,Opposition,0.23529411764705882,0.7977347373962402,medium,1,0
restraint,fas,pes_Arab,بازدارنده,The blocker.,0.09523809523809523,0.6462417840957642,medium,1,0
indulgence,fas,pes_Arab,بخشیدن,Forgiveness.,0.36363636363636365,0.814509391784668,high,1,0
solidarity,fas,pes_Arab,همبستگی,Co-operation,0.18181818181818182,0.8447986841201782,high,1,0
merit,fas,pes_Arab,شایستگی,Qualifications,0.21052631578947367,0.8464773893356323,high,1,0
trust,fas,pes_Arab,اعتماد,Confidence.,0.0,0.8552365899085999,high,1,0
loyalty,fas,pes_Arab,وفاداری,Loyalty,1.0,0.866773784160614,high,0,0
integrity,fas,pes_Arab,صداقت,Your honesty.,0.36363636363636365,0.8502835035324097,high,1,0
discretion,fas,pes_Arab,اختیاری,It's optional.,0.5,0.8285324573516846,high,1,0
humility,fas,pes_Arab,فروتنی,Humility.,0.9411764705882353,0.8594369888305664,high,1,1
discipline,fas,pes_Arab,تنبیه,It's a punishment.,0.21428571428571427,0.8415552973747253,high,1,0
self control,fas,pes_Arab,کنترل خود,Control yourself.,0.4827586206896552,0.836883008480072,high,1,0
deference,fas,pes_Arab,احترام,Respect.,0.35294117647058826,0.8283414840698242,high,1,1
civic individualism,fas,pes_Arab,انفرادیسم مدنی,Civic isolationism.,0.5789473684210527,0.8637116551399231,high,0,0
civic collectivism,fas,pes_Arab,کلکتیویسم مدنی,I'm a civic collectivist.,0.7906976744186046,0.85863196849823,high,0,0
civic hierarchy,fas,pes_Arab,سلسله مراتب مدنی,Civil ranks,0.5384615384615384,0.8680527806282043,high,1,0
civic equality,fas,pes_Arab,برابری مدنی,Civil equality,0.9285714285714286,0.8679416179656982,high,0,0
civic authority,fas,pes_Arab,مقام مدنی,Civil office,0.37037037037037035,0.7964783906936646,medium,1,0
civic autonomy,fas,pes_Arab,استقلال مدنی,Civil independence,0.3125,0.8437628746032715,high,1,0
civic obedience,fas,pes_Arab,اطاعت از مردم,Obedience to the People,0.47368421052631576,0.8019087910652161,high,1,0
civic duty,fas,pes_Arab,وظیفه مدنی,Civil duty,0.9,0.8665159344673157,high,0,0
civic freedom,fas,pes_Arab,آزادی مدنی,Civil liberties,0.5,0.877267599105835,high,1,0
civic honor,fas,pes_Arab,افتخار مدنی,It's a civic honor.,0.7333333333333333,0.8409554958343506,high,0,0
civic shame,fas,pes_Arab,شرم مدنی,It's a civil disgrace.,0.36363636363636365,0.8310021162033081,high,1,0
civic virtue,fas,pes_Arab,فضیلت مدنی,Your civic virtue.,0.8,0.8534940481185913,high,0,0
civic vice,fas,pes_Arab,نقص مدنی,Civilian disability,0.41379310344827586,0.784120500087738,medium,1,0
civic respect,fas,pes_Arab,احترام مدنی,Civic respect.,0.9629629629629629,0.8713446259498596,high,1,1
civic modesty,fas,pes_Arab,متواضعیت مدنی,Civil humility,0.5925925925925926,0.8421772718429565,high,0,0
civic purity,fas,pes_Arab,پاکیزگی مدنی,Civic cleanliness,0.4827586206896552,0.8469606041908264,high,1,0
civic pollution,fas,pes_Arab,آلودگی مدنی,Civil pollution,0.9333333333333333,0.8646893501281738,high,0,0
civic face,fas,pes_Arab,چهره مدنی,A civilian face.,0.6923076923076923,0.8497011065483093,high,0,0
civic reputation,fas,pes_Arab,شهرت مدنی,Civic reputation,1.0,0.8480315208435059,high,0,0
civic hospitality,fas,pes_Arab,مهمان نوازی مدنی,Civil hospitality,0.9411764705882353,0.871387243270874,high,0,0
civic charity,fas,pes_Arab,خیریه مدنی,It's a civic charity.,0.7647058823529411,0.8364670872688293,high,0,0
