source_term_en,target_lang,target_lang_nllb,translated_term,back_translated_en,back_similarity,comet_kiwi_score,qe_tier,needs_manual_review,duplicate_translation
individualism,fr,fra_Latn,individualisme,selfishness,0.25,0.8733891248703003,high,1,0
collectivism,fr,fra_Latn,collectivisme,collectivism,1.0,0.8651548624038696,high,0,0
hierarchy,fr,fra_Latn,la hiérarchie,the hierarchy,0.8181818181818182,0.8522482514381409,high,0,0
equality,fr,fra_Latn,l'égalité,equality,1.0,0.8210365176200867,high,0,0
authority,fr,fra_Latn,autorité,authority,1.0,0.8358670473098755,high,0,0
autonomy,fr,fra_Latn,Autonomie,Self-sufficiency,0.25,0.8612529039382935,high,1,0
obedience,fr,fra_Latn,l'obéissance,obedience,1.0,0.8331196308135986,high,0,0
duty,fr,fra_Latn,les droits,rights,0.2,0.4908674359321594,low,1,0
freedom,fr,fra_Latn,La liberté,Freedom,1.0,0.853294849395752,high,0,0
honor,fr,fra_Latn,honneur,honor,1.0,0.8368447422981262,high,0,0
shame,fr,fra_Latn,honte,shame,1.0,0.8443629741668701,high,0,0
virtue,fr,fra_Latn,la vertu,the virtue,0.75,0.8310210108757019,high,0,0
vice,fr,fra_Latn,vices,vices,0.8888888888888888,0.5329998731613159,low,1,0
respect,fr,fra_Latn,le respect,respect,1.0,0.8206930160522461,high,0,0
modesty,fr,fra_Latn,modestie,modesty,1.0,0.8369075655937195,high,0,0
purity,fr,fra_Latn,la pureté,cleanliness,0.11764705882352941,0.8362213373184204,high,1,0
pollution,fr,fra_Latn,pollution,pollution,1.0,0.46431225538253784,low,1,0
face,fr,fra_Latn,le visage,the face,0.6666666666666666,0.7914636135101318,medium,0,0
reputation,fr,fra_Latn,réputation,reputation,1.0,0.8505233526229858,high,0,0
hospitality,fr,fra_Latn,l'hospitalité,the hospitality,0.8461538461538461,0.8242865800857544,high,0,0
charity,fr,fra_Latn,d'organisme de bienfaisance,of a charitable organisation,0.34285714285714286,0.5970556139945984,low,1,0
cooperation,fr,fra_Latn,coopération,cooperation,1.0,0.8396039009094238,high,0,0
competition,fr,fra_Latn,compétition,competition,1.0,0.8381835222244263,high,0,0
fairness,fr,fra_Latn,l'équité,fairness,1.0,0.8423827886581421,high,0,0
justice,fr,fra_Latn,justice,justice,1.0,0.5313392281532288,low,1,0
taboo,fr,fra_Latn,le tabou,the taboo,0.7142857142857143,0.8298366665840149,high,0,0
tradition,fr,fra_Latn,Tradition,Tradition,1.0,0.7088239192962646,medium,0,0
modernity,fr,fra_Latn,la modernité,modernity,1.0,0.8510140180587769,high,0,0
sacred,fr,fra_Latn,sacré,holy,0.0,0.7825195789337158,medium,1,0
secular,fr,fra_Latn,laïque,secular,1.0,0.7102077007293701,medium,0,0
conformity,fr,fra_Latn,Conformité,Compliance,0.3,0.8487982153892517,high,1,0
dissent,fr,fra_Latn,le désaccord,disagreement,0.631578947368421,0.7995163202285767,medium,0,0
restraint,fr,fra_Latn,la retenue,the restraint,0.8181818181818182,0.8189147710800171,high,0,0
indulgence,fr,fra_Latn,l'indulgence,Forgiveness,0.38095238095238093,0.8048729300498962,high,1,0
solidarity,fr,fra_Latn,Solidarité,Solidarity,1.0,0.8542191386222839,high,0,0
merit,fr,fra_Latn,mérite,merit,1.0,0.8146800994873047,high,0,0
trust,fr,fra_Latn,la confiance,confidence,0.0,0.8468761444091797,high,1,0
loyalty,fr,fra_Latn,fidélité,loyalty,1.0,0.8655725717544556,high,0,0
integrity,fr,fra_Latn,l'intégrité,integrity,1.0,0.7339257597923279,medium,0,0
discretion,fr,fra_Latn,discrétion,discretion,1.0,0.8383805751800537,high,0,0
