source_term_en,target_lang,target_lang_nllb,translated_term,back_translated_en,back_similarity,comet_kiwi_score,qe_tier,needs_manual_review,duplicate_translation
individualism,deu,deu_Latn,Individualismus,Individualism,1.0,0.8654268980026245,high,0,0
collectivism,deu,deu_Latn,Kollektivismus,Collectivism,1.0,0.8635091781616211,high,0,0
hierarchy,deu,deu_Latn,Hierarchie,The hierarchy,0.8181818181818182,0.8464521169662476,high,0,0
equality,deu,deu_Latn,Gleichheit,Equality,1.0,0.8452194333076477,high,0,0
authority,deu,deu_Latn,Autorität,Authorities,0.8,0.8428896069526672,high,0,0
autonomy,deu,deu_Latn,Autonomie,Self-government,0.08695652173913043,0.861253023147583,high,1,0
obedience,deu,deu_Latn,Gehorsam,Obedience,1.0,0.8413637280464172,high,0,0
duty,deu,deu_Latn,Dienstleistung,Provision of services,0.0,0.42162472009658813,low,1,0
freedom,deu,deu_Latn,Freiheit,Freedom of movement,0.5384615384615384,0.8414857387542725,high,1,0
honor,deu,deu_Latn,die Ehre,The honour,0.6666666666666666,0.8087495565414429,high,0,0
shame,deu,deu_Latn,Scham,Shame on you,0.5882352941176471,0.8452848196029663,high,0,0
virtue,deu,deu_Latn,Tugend,Virtue,1.0,0.7681867480278015,medium,0,0
vice,deu,deu_Latn,Verfehlung,Misconduct,0.2857142857142857,0.6629171371459961,medium,1,0
respect,deu,deu_Latn,Respekt,Respect,1.0,0.856163740158081,high,0,0
modesty,deu,deu_Latn,Bescheidenheit,Modesty,1.0,0.8376522064208984,high,0,0
purity,deu,deu_Latn,Reinheit,Purity,1.0,0.8514891862869263,high,0,0
pollution,deu,deu_Latn,Umweltverschmutzung,Pollution of the environment,0.4864864864864865,0.8021606206893921,high,1,0
face,deu,deu_Latn,Gesicht,Face,1.0,0.819791316986084,high,0,0
reputation,deu,deu_Latn,Reputation,Reputation,1.0,0.7091666460037231,medium,0,0
hospitality,deu,deu_Latn,Gastfreundschaft,Hospitality,1.0,0.8562208414077759,high,0,0
charity,deu,deu_Latn,Wohltätigkeitsorganisation,Charity organisation,0.5185185185185185,0.8108202219009399,high,1,0
cooperation,deu,deu_Latn,Zusammenarbeit,Cooperation,1.0,0.8134377002716064,high,0,0
competition,deu,deu_Latn,Wettbewerb,Competition,1.0,0.8120284080505371,high,0,0
fairness,deu,deu_Latn,Gerechtigkeit,Justice,0.26666666666666666,0.8470656275749207,high,1,1
justice,deu,deu_Latn,Gerechtigkeit,Justice,1.0,0.8295311331748962,high,1,1
taboo,deu,deu_Latn,Tabus,Taboo,1.0,0.8387265205383301,high,0,0
tradition,deu,deu_Latn,Tradition,Tradition,1.0,0.7088239192962646,medium,0,0
modernity,deu,deu_Latn,Modernität,Modernity,1.0,0.8498117923736572,high,0,0
sacred,deu,deu_Latn,Heilig,It 's holy .,0.1111111111111111,0.816034734249115,high,1,0
secular,deu,deu_Latn,weltliche,worldly,0.14285714285714285,0.4428543150424957,low,1,0
conformity,deu,deu_Latn,Konformität,Conformity,1.0,0.829475998878479,high,0,0
dissent,deu,deu_Latn,Meinungsverschiedenheit,Difference of opinion,0.2857142857142857,0.8221473693847656,high,1,0
restraint,deu,deu_Latn,Zurückhaltung,Restraint,1.0,0.838158369064331,high,0,0
indulgence,deu,deu_Latn,Nachlässigkeit,Neglect and neglect,0.3448275862068966,0.8099517822265625,high,1,0
solidarity,deu,deu_Latn,Solidarität,Solidarity,1.0,0.8719117641448975,high,0,0
merit,deu,deu_Latn,Verdienst,Earned,0.36363636363636365,0.7792789936065674,medium,1,0
