source_term_en,target_lang,target_lang_nllb,translated_term,back_translated_en,back_similarity,comet_kiwi_score,qe_tier,needs_manual_review,duplicate_translation
individualism,nld,nld_Latn,individualisme,Individualism,1.0,0.8733891248703003,high,0,0
collectivism,nld,nld_Latn,collectivisme,Collectivism,1.0,0.8651548624038696,high,0,0
hierarchy,nld,nld_Latn,hiërarchie,the hierarchy,0.8181818181818182,0.8516774773597717,high,0,0
equality,nld,nld_Latn,gelijkheid,Equality,1.0,0.859075665473938,high,0,0
authority,nld,nld_Latn,autoriteit,Authority,1.0,0.8169552683830261,high,0,0
autonomy,nld,nld_Latn,Autonomie,Self-government,0.08695652173913043,0.8612529039382935,high,1,0
obedience,nld,nld_Latn,gehoorzaamheid,Obedience,1.0,0.8612582683563232,high,0,0
duty,nld,nld_Latn,belasting,taxation,0.16666666666666666,0.7628160715103149,medium,1,0
freedom,nld,nld_Latn,vrijheid,Freedom of movement,0.5384615384615384,0.865750789642334,high,1,0
honor,nld,nld_Latn,eer,honour,0.9090909090909091,0.5464709997177124,low,1,0
shame,nld,nld_Latn,schande,Shame on you.,0.5555555555555556,0.8240026831626892,high,0,0
virtue,nld,nld_Latn,deugd,Virtue,1.0,0.6293589472770691,medium,0,0
vice,nld,nld_Latn,vicieus,Vicious,0.5454545454545454,0.5355398654937744,low,1,0
respect,nld,nld_Latn,Respect,Respect,1.0,0.6536740064620972,medium,0,0
modesty,nld,nld_Latn,bescheidenheid,Modesty,1.0,0.8361266851425171,high,0,0
purity,nld,nld_Latn,zuiverheid,Purity,1.0,0.8649165630340576,high,0,0
pollution,nld,nld_Latn,Vervuiling,Pollution,1.0,0.8255771398544312,high,0,0
face,nld,nld_Latn,Gezicht,Faces,0.8888888888888888,0.7165313959121704,medium,0,0
reputation,nld,nld_Latn,Reputatie,Reputation,1.0,0.8530808687210083,high,0,0
hospitality,nld,nld_Latn,gastvrijheid,Hospitality,1.0,0.8707351088523865,high,0,0
charity,nld,nld_Latn,liefdadigheidsorganisaties,charitable organisations,0.3870967741935484,0.8512515425682068,high,1,0
cooperation,nld,nld_Latn,Samenwerking,Cooperation,1.0,0.843076229095459,high,0,0
competition,nld,nld_Latn,Concurrentie,Competition,1.0,0.7878556251525879,medium,0,0
fairness,nld,nld_Latn,rechtvaardigheid,Justice,0.26666666666666666,0.8669300675392151,high,1,0
justice,nld,nld_Latn,Gerechtigheid,Justice,1.0,0.853202223777771,high,0,0
taboo,nld,nld_Latn,taboe,Taboo,1.0,0.8055420517921448,high,0,0
tradition,nld,nld_Latn,traditie,Tradition,1.0,0.8624895215034485,high,0,0
modernity,nld,nld_Latn,moderniteit,modernity,1.0,0.8624758720397949,high,0,0
