source_term_en,target_lang,target_lang_nllb,translated_term,back_translated_en,back_similarity,comet_kiwi_score,qe_tier,needs_manual_review,duplicate_translation
individualism,zh,zho_Hans,个人主义,Individualism,1.0,0.8565899133682251,high,0,0
collectivism,zh,zho_Hans,集体主义,Collectivism,1.0,0.8540671467781067,high,0,0
hierarchy,zh,zho_Hans,层次,Levels,0.13333333333333333,0.7999738454818726,medium,1,0
equality,zh,zho_Hans,平等,Equality,1.0,0.8403816223144531,high,0,0
authority,zh,zho_Hans,权威,Authorities,0.8,0.8119621276855469,high,0,0
autonomy,zh,zho_Hans,自主权,Self-determination,0.3076923076923077,0.8417540192604065,high,1,0
obedience,zh,zho_Hans,服从,Obedience,1.0,0.7797654867172241,medium,0,0
duty,zh,zho_Hans,关税,Tariffs,0.18181818181818182,0.6800925731658936,medium,1,0
freedom,zh,zho_Hans,自由,Freedom,1.0,0.844698429107666,high,0,0
honor,zh,zho_Hans,荣誉,The Honor,0.7142857142857143,0.7847858667373657,medium,0,0
shame,zh,zho_Hans,羞耻,Shame and shame,0.5,0.8313394784927368,high,1,0
virtue,zh,zho_Hans,良性,Goodness,0.14285714285714285,0.6831320524215698,medium,1,0
vice,zh,zho_Hans,恶性,Violence,0.6666666666666666,0.6972647905349731,medium,0,0
respect,zh,zho_Hans,尊重,Respect,1.0,0.8286209106445312,high,1,1
modesty,zh,zho_Hans,谦逊,Humility,0.4,0.825597882270813,high,1,0
purity,zh,zho_Hans,纯度,Purity,1.0,0.8362053036689758,high,0,0
pollution,zh,zho_Hans,污染,Pollution,1.0,0.8332614898681641,high,0,0
face,zh,zho_Hans,面部,The face,0.6666666666666666,0.7889808416366577,medium,0,0
reputation,zh,zho_Hans,声誉,Reputation,1.0,0.8200740218162537,high,0,0
hospitality,zh,zho_Hans,接待人,Welcome to the world,0.1935483870967742,0.7113221883773804,medium,1,0
charity,zh,zho_Hans,慈善事业,Philanthropy,0.42105263157894735,0.8121621012687683,high,1,0
cooperation,zh,zho_Hans,合作,Cooperation,1.0,0.8040478229522705,high,0,0
competition,zh,zho_Hans,竞争,Competition,1.0,0.8302016258239746,high,0,0
fairness,zh,zho_Hans,公平性,Fairness,1.0,0.8461943864822388,high,0,0
justice,zh,zho_Hans,正义,Justice,1.0,0.8053126335144043,high,0,0
